Indicators,Year,Age_Group,Gender,Value
"Suicide mortality rate, male (per 100,000 male population)",2003,Total,Male,45.57
"Survival to age 65, female (% of cohort)",2003,Total,Female,85.343675
"Survival to age 65, male (% of cohort)",2003,Total,Male,68.581598
Age dependency ratio (% of working-age population),2004,Total,Total,48.1075839
"Age dependency ratio, old (% of working-age population)",2004,Total,Total,9.66662088
"Age dependency ratio, young (% of working-age population)",2004,Total,Total,38.44096302
"Birth rate, crude (per 1,000 people)",2004,Total,Total,18.826
Current health expenditure (% of GDP),2004,Total,Total,4.03912592
"Death rate, crude (per 1,000 people)",2004,Total,Total,8.246
"Fertility rate, total (births per woman)",2004,Total,Total,2.271
"Hospital beds (per 1,000 people)",2004,Total,Total,2.95
"Incidence of HIV, all (per 1,000 uninfected population)",2004,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2004,Total,Total,0.81
"Incidence of tuberculosis (per 100,000 people)",2004,Total,Total,66
"Life expectancy at birth, female (years)",2004,Total,Female,71.037
"Life expectancy at birth, male (years)",2004,Total,Male,65.22
"Life expectancy at birth, total (years)",2004,Total,Total,68.022
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2004,Reproductive Age,Total,37
"Mortality rate, adult, female (per 1,000 female adults)",2004,Adult,Female,156.949
"Mortality rate, adult, male (per 1,000 male adults)",2004,Adult,Male,252.386
"Mortality rate, infant (per 1,000 live births)",2004,0-1,Total,16.7
"Mortality rate, infant, female (per 1,000 live births)",2004,0-1,Female,15.6
"Mortality rate, infant, male (per 1,000 live births)",2004,0-1,Male,17.8
Number of maternal deaths,2004,Reproductive Age,Total,140
"Nurses and midwives (per 1,000 people)",2004,Total,Total,1.705
"Physicians (per 1,000 people)",2004,Total,Total,0.538
Population ages 0-14 (% of total population),2004,Total,Total,25.95475668
Population ages 15-64 (% of total population),2004,Total,Total,67.51848715
Population ages 65 and above (% of total population),2004,Total,Total,6.526756176
"Population, female",2004,Total,Female,10169173
"Population, female (% of total population)",2004,Total,Female,50.62412116
"Population, male",2004,Total,Male,9918432
"Population, male (% of total population)",2004,Total,Male,49.37587884
"Population, total",2004,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2004,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2004,15-24,Male,0.1
Sex ratio at birth (male births per female births),2004,Total,Female,1.046
"Suicide mortality rate (per 100,000 population)",2004,Total,Total,25.18
"Suicide mortality rate, female (per 100,000 female population)",2004,Total,Female,10.16
"Suicide mortality rate, male (per 100,000 male population)",2004,Total,Male,40.57
"Survival to age 65, female (% of cohort)",2004,Total,Female,75.205044
"Survival to age 65, male (% of cohort)",2004,Total,Male,62.716827
Age dependency ratio (% of working-age population),2005,Total,Total,48.05777707
"Age dependency ratio, old (% of working-age population)",2005,Total,Total,9.803337116
"Age dependency ratio, young (% of working-age population)",2005,Total,Total,38.25443995
"Birth rate, crude (per 1,000 people)",2005,Total,Total,18.716
Current health expenditure (% of GDP),2005,Total,Total,3.87908745
"Death rate, crude (per 1,000 people)",2005,Total,Total,6.415
"Fertility rate, total (births per woman)",2005,Total,Total,2.263
"Hospital beds (per 1,000 people)",2005,Total,Total,3.13
"Incidence of HIV, all (per 1,000 uninfected population)",2005,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2005,Total,Total,0.35
"Incidence of tuberculosis (per 100,000 people)",2005,Total,Total,66
"Life expectancy at birth, female (years)",2005,Total,Female,77.061
"Life expectancy at birth, male (years)",2005,Total,Male,69.391
"Life expectancy at birth, total (years)",2005,Total,Total,73.073
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2005,Reproductive Age,Total,32
"Mortality rate, adult, female (per 1,000 female adults)",2005,Adult,Female,83.528
"Mortality rate, adult, male (per 1,000 male adults)",2005,Adult,Male,202.607
"Mortality rate, infant (per 1,000 live births)",2005,0-1,Total,11.2
"Mortality rate, infant, female (per 1,000 live births)",2005,0-1,Female,10.1
"Mortality rate, infant, male (per 1,000 live births)",2005,0-1,Male,12.3
Number of maternal deaths,2005,Reproductive Age,Total,120
"Nurses and midwives (per 1,000 people)",2005,Total,Total,1.399
"Physicians (per 1,000 people)",2005,Total,Total,0.518
Population ages 0-14 (% of total population),2005,Total,Total,25.83750733
Population ages 15-64 (% of total population),2005,Total,Total,67.54119879
Population ages 65 and above (% of total population),2005,Total,Total,6.621293883
"Population, female",2005,Total,Female,10254513
"Population, female (% of total population)",2005,Total,Female,50.72342308
"Population, male",2005,Total,Male,9962011
"Population, male (% of total population)",2005,Total,Male,49.27657692
"Population, total",2005,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2005,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2005,15-24,Male,0.1
Sex ratio at birth (male births per female births),2005,Total,Female,1.047
"Suicide mortality rate (per 100,000 population)",2005,Total,Total,25.4
"Suicide mortality rate, female (per 100,000 female population)",2005,Total,Female,9.7
"Suicide mortality rate, male (per 100,000 male population)",2005,Total,Male,41.57
"Survival to age 65, female (% of cohort)",2005,Total,Female,85.962054
