Indicators,Year,Age_Group,Gender,Value
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2019,Reproductive Age,Total,20
"Mortality rate, adult, female (per 1,000 female adults)",2019,Adult,Female,60.443
"Mortality rate, adult, male (per 1,000 male adults)",2019,Adult,Male,142.664
"Mortality rate, infant (per 1,000 live births)",2019,0-1,Total,6.2
"Mortality rate, infant, female (per 1,000 live births)",2019,0-1,Female,5.5
"Mortality rate, infant, male (per 1,000 live births)",2019,0-1,Male,6.9
Number of maternal deaths,2019,Reproductive Age,Total,68
"Nurses and midwives (per 1,000 people)",2019,Total,Total,2.226
"Physicians (per 1,000 people)",2019,Total,Total,1.137
Population ages 0-14 (% of total population),2019,Total,Total,23.65448704
Population ages 15-64 (% of total population),2019,Total,Total,65.9700521
Population ages 65 and above (% of total population),2019,Total,Total,10.37546086
Population by Age and Gender,2019,0-4,Female,928
Population by Age and Gender,2019,0-4,Male,943
Population by Age and Gender,2019,5-9,Female,928
Population by Age and Gender,2019,5-9,Male,946
Population by Age and Gender,2019,10-14,Female,870
Population by Age and Gender,2019,10-14,Male,889
Population by Age and Gender,2019,15-19,Female,884
Population by Age and Gender,2019,15-19,Male,879
Population by Age and Gender,2019,20-24,Female,847
Population by Age and Gender,2019,20-24,Male,795
Population by Age and Gender,2019,25-29,Female,867
Population by Age and Gender,2019,25-29,Male,796
Population by Age and Gender,2019,30-34,Female,902
Population by Age and Gender,2019,30-34,Male,854
Population by Age and Gender,2019,35-39,Female,774
Population by Age and Gender,2019,35-39,Male,734
Population by Age and Gender,2019,40-44,Female,747
Population by Age and Gender,2019,40-44,Male,708
Population by Age and Gender,2019,45-49,Female,715
Population by Age and Gender,2019,45-49,Male,662
Population by Age and Gender,2019,50-54,Female,683
Population by Age and Gender,2019,50-54,Male,622
Population by Age and Gender,2019,55-59,Female,603
Population by Age and Gender,2019,55-59,Male,536
Population by Age and Gender,2019,60-64,Female,526
Population by Age and Gender,2019,60-64,Male,455
Population by Age and Gender,2019,65-69,Female,373
Population by Age and Gender,2019,65-69,Male,303
Population by Age and Gender,2019,70-74,Female,246
Population by Age and Gender,2019,70-74,Male,194
Population by Age and Gender,2019,75-79,Female,178
Population by Age and Gender,2019,75-79,Male,124
Population by Age and Gender,2019,80+,Female,176
Population by Age and Gender,2019,80+,Male,116
"Population, female",2019,Total,Female,11242045
"Population, female (% of total population)",2019,Total,Female,51.56191831
"Population, male",2019,Total,Male,10560955
"Population, male (% of total population)",2019,Total,Male,48.43808169
"Population, total",2019,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2019,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2019,15-24,Male,0.1
Sex ratio at birth (male births per female births),2019,Total,Female,1.044
"Suicide mortality rate (per 100,000 population)",2019,Total,Total,15.94
"Suicide mortality rate, female (per 100,000 female population)",2019,Total,Female,6.44
"Suicide mortality rate, male (per 100,000 male population)",2019,Total,Male,26.06
"Survival to age 65, female (% of cohort)",2019,Total,Female,89.716672
"Survival to age 65, male (% of cohort)",2019,Total,Male,77.527244
Age dependency ratio (% of working-age population),2020,Total,Total,51.63729748
"Age dependency ratio, old (% of working-age population)",2020,Total,Total,16.24901668
"Age dependency ratio, young (% of working-age population)",2020,Total,Total,35.38828079
"Birth rate, crude (per 1,000 people)",2020,Total,Total,13.8
Current health expenditure (% of GDP),2020,Total,Total,4.06134748
"Death rate, crude (per 1,000 people)",2020,Total,Total,6
"Fertility rate, total (births per woman)",2020,Total,Total,2.007
"Hospital beds (per 1,000 people)",2020,Total,Total,4.02
"Incidence of HIV, all (per 1,000 uninfected population)",2020,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2020,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2020,Total,Total,63
"Life expectancy at birth, female (years)",2020,Total,Female,80.066
"Life expectancy at birth, male (years)",2020,Total,Male,73.691
"Life expectancy at birth, total (years)",2020,Total,Total,76.928
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2020,Reproductive Age,Total,23
"Mortality rate, adult, female (per 1,000 female adults)",2020,Adult,Female,59.023
"Mortality rate, adult, male (per 1,000 male adults)",2020,Adult,Male,138.378
"Mortality rate, infant (per 1,000 live births)",2020,0-1,Total,6
"Mortality rate, infant, female (per 1,000 live births)",2020,0-1,Female,5.3
"Mortality rate, infant, male (per 1,000 live births)",2020,0-1,Male,6.7
Number of maternal deaths,2020,Reproductive Age,Total,76
"Nurses and midwives (per 1,000 people)",2020,Total,Total,2.461
"Physicians (per 1,000 people)",2020,Total,Total,1.212
Population ages 0-14 (% of total population),2020,Total,Total,23.33745254
Population ages 15-64 (% of total population),2020,Total,Total,65.94683662
Population ages 65 and above (% of total population),2020,Total,Total,10.71571085
Population by Age and Gender,2020,0-4,Female,932
Population by Age and Gender,2020,0-4,Male,949
Population by Age and Gender,2020,5-9,Female,934
Population by Age and Gender,2020,5-9,Male,951
Population by Age and Gender,2020,10-14,Female,874
Population by Age and Gender,2020,10-14,Male,894
Population by Age and Gender,2020,15-19,Female,889
Population by Age and Gender,2020,15-19,Male,884
Population by Age and Gender,2020,20-24,Female,852
Population by Age and Gender,2020,20-24,Male,799
Population by Age and Gender,2020,25-29,Female,872
Population by Age and Gender,2020,25-29,Male,800
Population by Age and Gender,2020,30-34,Female,907
Population by Age and Gender,2020,30-34,Male,858
Population by Age and Gender,2020,35-39,Female,778
Population by Age and Gender,2020,35-39,Male,738
Population by Age and Gender,2020,40-44,Female,750
Population by Age and Gender,2020,40-44,Male,712
Population by Age and Gender,2020,45-49,Female,719
Population by Age and Gender,2020,45-49,Male,665
Population by Age and Gender,2020,50-54,Female,686
Population by Age and Gender,2020,50-54,Male,626
Population by Age and Gender,2020,55-59,Female,605
Population by Age and Gender,2020,55-59,Male,539
Population by Age and Gender,2020,60-64,Female,529
Population by Age and Gender,2020,60-64,Male,457
Population by Age and Gender,2020,65-69,Female,375
Population by Age and Gender,2020,65-69,Male,305
Population by Age and Gender,2020,70-74,Female,248
Population by Age and Gender,2020,70-74,Male,195
Population by Age and Gender,2020,75-79,Female,179
Population by Age and Gender,2020,75-79,Male,125
Population by Age and Gender,2020,80+,Female,177
Population by Age and Gender,2020,80+,Male,116
"Population, female",2020,Total,Female,11304243
"Population, female (% of total population)",2020,Total,Female,51.57280406
"Population, male",2020,Total,Male,10614757
"Population, male (% of total population)",2020,Total,Male,48.42719594
"Population, total",2020,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2020,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2020,15-24,Male,0.1
Sex ratio at birth (male births per female births),2020,Total,Female,1.044
"Suicide mortality rate (per 100,000 population)",2020,Total,Total,12.44
"Suicide mortality rate, female (per 100,000 female population)",2020,Total,Female,5.13
"Suicide mortality rate, male (per 100,000 male population)",2020,Total,Male,20.22
"Survival to age 65, female (% of cohort)",2020,Total,Female,89.961824
"Survival to age 65, male (% of cohort)",2020,Total,Male,78.081552
Age dependency ratio (% of working-age population),2021,Total,Total,51.65677982
"Age dependency ratio, old (% of working-age population)",2021,Total,Total,16.75146879
"Age dependency ratio, young (% of working-age population)",2021,Total,Total,34.90531103
"Birth rate, crude (per 1,000 people)",2021,Total,Total,12.9
Current health expenditure (% of GDP),2021,Total,Total,4.02830219
"Death rate, crude (per 1,000 people)",2021,Total,Total,7.4
"Fertility rate, total (births per woman)",2021,Total,Total,1.995
"Incidence of HIV, all (per 1,000 uninfected population)",2021,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2021,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2021,Total,Total,63
"Life expectancy at birth, female (years)",2021,Total,Female,79.522
"Life expectancy at birth, male (years)",2021,Total,Male,72.97
"Life expectancy at birth, total (years)",2021,Total,Total,76.278
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2021,Reproductive Age,Total,34
"Mortality rate, adult, female (per 1,000 female adults)",2021,Adult,Female,65.488
"Mortality rate, adult, male (per 1,000 male adults)",2021,Adult,Male,151.505
"Mortality rate, infant (per 1,000 live births)",2021,0-1,Total,5.8
"Mortality rate, infant, female (per 1,000 live births)",2021,0-1,Female,5.1
"Mortality rate, infant, male (per 1,000 live births)",2021,0-1,Male,6.4
Number of maternal deaths,2021,Reproductive Age,Total,110
"Nurses and midwives (per 1,000 people)",2021,Total,Total,2.439
"Physicians (per 1,000 people)",2021,Total,Total,1.192
Population ages 0-14 (% of total population),2021,Total,Total,23.01599287
Population ages 15-64 (% of total population),2021,Total,Total,65.93836216
Population ages 65 and above (% of total population),2021,Total,Total,11.04564498
Population by Age and Gender,2021,0-4,Female,943
Population by Age and Gender,2021,0-4,Male,959
Population by Age and Gender,2021,5-9,Female,944
Population by Age and Gender,2021,5-9,Male,962
Population by Age and Gender,2021,10-14,Female,884
Population by Age and Gender,2021,10-14,Male,904
Population by Age and Gender,2021,15-19,Female,899
Population by Age and Gender,2021,15-19,Male,894
Population by Age and Gender,2021,20-24,Female,861
Population by Age and Gender,2021,20-24,Male,808
Population by Age and Gender,2021,25-29,Female,881
Population by Age and Gender,2021,25-29,Male,809
Population by Age and Gender,2021,30-34,Female,917
Population by Age and Gender,2021,30-34,Male,867
Population by Age and Gender,2021,35-39,Female,787
Population by Age and Gender,2021,35-39,Male,746
Population by Age and Gender,2021,40-44,Female,758
Population by Age and Gender,2021,40-44,Male,720
Population by Age and Gender,2021,45-49,Female,726
Population by Age and Gender,2021,45-49,Male,672
Population by Age and Gender,2021,50-54,Female,694
Population by Age and Gender,2021,50-54,Male,632
Population by Age and Gender,2021,55-59,Female,612
Population by Age and Gender,2021,55-59,Male,544
Population by Age and Gender,2021,60-64,Female,534
Population by Age and Gender,2021,60-64,Male,462
Population by Age and Gender,2021,65-69,Female,379
Population by Age and Gender,2021,65-69,Male,308
Population by Age and Gender,2021,70-74,Female,250
Population by Age and Gender,2021,70-74,Male,197
Population by Age and Gender,2021,75-79,Female,181
Population by Age and Gender,2021,75-79,Male,126
Population by Age and Gender,2021,80+,Female,179
Population by Age and Gender,2021,80+,Male,117
"Population, female",2021,Total,Female,11429255
"Population, female (% of total population)",2021,Total,Female,51.5853705
"Population, male",2021,Total,Male,10726745
"Population, male (% of total population)",2021,Total,Male,48.4146295
"Population, total",2021,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2021,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2021,15-24,Male,0.1
Sex ratio at birth (male births per female births),2021,Total,Female,1.044
"Suicide mortality rate (per 100,000 population)",2021,Total,Total,14.74
"Suicide mortality rate, female (per 100,000 female population)",2021,Total,Female,5.85
"Suicide mortality rate, male (per 100,000 male population)",2021,Total,Male,24.22
"Survival to age 65, female (% of cohort)",2021,Total,Female,89.052764
"Survival to age 65, male (% of cohort)",2021,Total,Male,76.365709
Age dependency ratio (% of working-age population),2022,Total,Total,51.68231906
"Age dependency ratio, old (% of working-age population)",2022,Total,Total,17.26514201
"Age dependency ratio, young (% of working-age population)",2022,Total,Total,34.41717705
"Birth rate, crude (per 1,000 people)",2022,Total,Total,12.4
Current health expenditure (% of GDP),2022,Total,Total,4.36269855
"Death rate, crude (per 1,000 people)",2022,Total,Total,8.1
"Fertility rate, total (births per woman)",2022,Total,Total,1.984
"Incidence of HIV, all (per 1,000 uninfected population)",2022,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2022,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2022,Total,Total,62
"Life expectancy at birth, female (years)",2022,Total,Female,80.451
"Life expectancy at birth, male (years)",2022,Total,Male,74.033
"Life expectancy at birth, total (years)",2022,Total,Total,77.3
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2022,Reproductive Age,Total,22
"Mortality rate, adult, female (per 1,000 female adults)",2022,Adult,Female,56.17
"Mortality rate, adult, male (per 1,000 male adults)",2022,Adult,Male,132.356
"Mortality rate, infant (per 1,000 live births)",2022,0-1,Total,5.5
"Mortality rate, infant, female (per 1,000 live births)",2022,0-1,Female,4.9
"Mortality rate, infant, male (per 1,000 live births)",2022,0-1,Male,6.2
Number of maternal deaths,2022,Reproductive Age,Total,72
Population ages 0-14 (% of total population),2022,Total,Total,22.6903041
Population ages 15-64 (% of total population),2022,Total,Total,65.92726111
Population ages 65 and above (% of total population),2022,Total,Total,11.38243479
Population by Age and Gender,2022,0-4,Female,945
Population by Age and Gender,2022,0-4,Male,960
Population by Age and Gender,2022,5-9,Female,945
Population by Age and Gender,2022,5-9,Male,963
Population by Age and Gender,2022,10-14,Female,885
Population by Age and Gender,2022,10-14,Male,905
Population by Age and Gender,2022,15-19,Female,900
Population by Age and Gender,2022,15-19,Male,895
Population by Age and Gender,2022,20-24,Female,862
Population by Age and Gender,2022,20-24,Male,809
Population by Age and Gender,2022,25-29,Female,882
Population by Age and Gender,2022,25-29,Male,810
Population by Age and Gender,2022,30-34,Female,918
Population by Age and Gender,2022,30-34,Male,868
Population by Age and Gender,2022,35-39,Female,787
Population by Age and Gender,2022,35-39,Male,747
Population by Age and Gender,2022,40-44,Female,759
Population by Age and Gender,2022,40-44,Male,720
Population by Age and Gender,2022,45-49,Female,727
Population by Age and Gender,2022,45-49,Male,673
Population by Age and Gender,2022,50-54,Female,694
Population by Age and Gender,2022,50-54,Male,633
Population by Age and Gender,2022,55-59,Female,613
Population by Age and Gender,2022,55-59,Male,545
Population by Age and Gender,2022,60-64,Female,535
Population by Age and Gender,2022,60-64,Male,463
Population by Age and Gender,2022,65-69,Female,379
Population by Age and Gender,2022,65-69,Male,308
Population by Age and Gender,2022,70-74,Female,250
Population by Age and Gender,2022,70-74,Male,198
Population by Age and Gender,2022,75-79,Female,181
Population by Age and Gender,2022,75-79,Male,126
Population by Age and Gender,2022,80+,Female,179
Population by Age and Gender,2022,80+,Male,117
"Population, female",2022,Total,Female,11445125
"Population, female (% of total population)",2022,Total,Female,51.59877845
"Population, male",2022,Total,Male,10735875
"Population, male (% of total population)",2022,Total,Male,48.40122155
"Population, total",2022,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2022,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2022,15-24,Male,0.1
Sex ratio at birth (male births per female births),2022,Total,Female,1.044
"Survival to age 65, female (% of cohort)",2022,Total,Female,90.438482
"Survival to age 65, male (% of cohort)",2022,Total,Male,78.843584
Age dependency ratio (% of working-age population),2023,Total,Total,51.74503338
"Age dependency ratio, old (% of working-age population)",2023,Total,Total,17.81291189
"Age dependency ratio, young (% of working-age population)",2023,Total,Total,33.93212149
"Birth rate, crude (per 1,000 people)",2023,Total,Total,11.2
"Death rate, crude (per 1,000 people)",2023,Total,Total,8.2
"Fertility rate, total (births per woman)",2023,Total,Total,1.974
"Incidence of HIV, all (per 1,000 uninfected population)",2023,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2023,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2023,Total,Total,62
"Life expectancy at birth, female (years)",2023,Total,Female,80.593
"Life expectancy at birth, male (years)",2023,Total,Male,74.244
"Life expectancy at birth, total (years)",2023,Total,Total,77.483
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2023,Reproductive Age,Total,18
"Mortality rate, adult, female (per 1,000 female adults)",2023,Adult,Female,55.072
"Mortality rate, adult, male (per 1,000 male adults)",2023,Adult,Male,128.86
"Mortality rate, infant (per 1,000 live births)",2023,0-1,Total,5.3
"Mortality rate, infant, female (per 1,000 live births)",2023,0-1,Female,4.7
"Mortality rate, infant, male (per 1,000 live births)",2023,0-1,Male,5.9
Number of maternal deaths,2023,Reproductive Age,Total,59
Population ages 0-14 (% of total population),2023,Total,Total,22.36127304
Population ages 15-64 (% of total population),2023,Total,Total,65.90001696
Population ages 65 and above (% of total population),2023,Total,Total,11.73870999
Population by Age and Gender,2023,0-4,Female,939
Population by Age and Gender,2023,0-4,Male,954
Population by Age and Gender,2023,5-9,Female,939
Population by Age and Gender,2023,5-9,Male,957
Population by Age and Gender,2023,10-14,Female,880
Population by Age and Gender,2023,10-14,Male,899
Population by Age and Gender,2023,15-19,Female,894
Population by Age and Gender,2023,15-19,Male,889
Population by Age and Gender,2023,20-24,Female,856
Population by Age and Gender,2023,20-24,Male,804
Population by Age and Gender,2023,25-29,Female,877
Population by Age and Gender,2023,25-29,Male,805
Population by Age and Gender,2023,30-34,Female,912
Population by Age and Gender,2023,30-34,Male,862
Population by Age and Gender,2023,35-39,Female,782
Population by Age and Gender,2023,35-39,Male,742
Population by Age and Gender,2023,40-44,Female,754
Population by Age and Gender,2023,40-44,Male,715
Population by Age and Gender,2023,45-49,Female,722
Population by Age and Gender,2023,45-49,Male,669
Population by Age and Gender,2023,50-54,Female,689
Population by Age and Gender,2023,50-54,Male,629
Population by Age and Gender,2023,55-59,Female,609
Population by Age and Gender,2023,55-59,Male,541
Population by Age and Gender,2023,60-64,Female,531
Population by Age and Gender,2023,60-64,Male,460
Population by Age and Gender,2023,65-69,Female,377
Population by Age and Gender,2023,65-69,Male,306
Population by Age and Gender,2023,70-74,Female,248
Population by Age and Gender,2023,70-74,Male,196
Population by Age and Gender,2023,75-79,Female,180
Population by Age and Gender,2023,75-79,Male,125
Population by Age and Gender,2023,80+,Female,178
Population by Age and Gender,2023,80+,Male,117
"Population, female",2023,Total,Female,11373412
"Population, female (% of total population)",2023,Total,Female,51.61052877
"Population, male",2023,Total,Male,10663588
"Population, male (% of total population)",2023,Total,Male,48.38947123
"Population, total",2023,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2023,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2023,15-24,Male,0.1
Sex ratio at birth (male births per female births),2023,Total,Female,1.044
"Survival to age 65, female (% of cohort)",2023,Total,Female,90.621742
"Survival to age 65, male (% of cohort)",2023,Total,Male,79.29283
Age dependency ratio (% of working-age population),2024,Total,Total,51.61978249
"Age dependency ratio, old (% of working-age population)",2024,Total,Total,65.86577366
"Age dependency ratio, young (% of working-age population)",2024,Total,Total,22.03028671
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2024,Reproductive Age,Total,18.37667282
Population ages 0-14 (% of total population),2024,Total,Total,10603008
Population ages 15-64 (% of total population),2024,Total,Total,11312992
Population ages 65 and above (% of total population),2024,Total,Total,48.38021751
Population by Age and Gender,2024,0-4,Female,934
Population by Age and Gender,2024,0-4,Male,949
Population by Age and Gender,2024,5-9,Female,934
Population by Age and Gender,2024,5-9,Male,952
Population by Age and Gender,2024,10-14,Female,875
Population by Age and Gender,2024,10-14,Male,894
Population by Age and Gender,2024,15-19,Female,889
Population by Age and Gender,2024,15-19,Male,884
Population by Age and Gender,2024,20-24,Female,852
Population by Age and Gender,2024,20-24,Male,799
Population by Age and Gender,2024,25-29,Female,872
Population by Age and Gender,2024,25-29,Male,801
Population by Age and Gender,2024,30-34,Female,907
Population by Age and Gender,2024,30-34,Male,858
Population by Age and Gender,2024,35-39,Female,778
Population by Age and Gender,2024,35-39,Male,738
Population by Age and Gender,2024,40-44,Female,750
Population by Age and Gender,2024,40-44,Male,711
Population by Age and Gender,2024,45-49,Female,718
Population by Age and Gender,2024,45-49,Male,665
Population by Age and Gender,2024,50-54,Female,686
Population by Age and Gender,2024,50-54,Male,625
Population by Age and Gender,2024,55-59,Female,605
Population by Age and Gender,2024,55-59,Male,538
Population by Age and Gender,2024,60-64,Female,529
Population by Age and Gender,2024,60-64,Male,457
Population by Age and Gender,2024,65-69,Female,374
Population by Age and Gender,2024,65-69,Male,304
Population by Age and Gender,2024,70-74,Female,247
Population by Age and Gender,2024,70-74,Male,195
Population by Age and Gender,2024,75-79,Female,178
Population by Age and Gender,2024,75-79,Male,125
Population by Age and Gender,2024,80+,Female,177
Population by Age and Gender,2024,80+,Male,116
"Prevalence of HIV, female (% ages 15-24)",2024,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2024,15-24,Male,0.1
